chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,rms,tempogram,class
0.2859778,1651.825066,1629.66355,3273.885245,-13.198256,0.087577534,0.041915633,0.163203681,0
0.33356816,2118.873579,1873.166428,3741.788828,-17.950277,0.120984816,0.0428267,0.134716057,0
0.2974828,935.0189636,1188.223663,1707.025308,-13.284979,0.042974883,0.03410501,0.148108245,0
0.2674784,1385.516737,1455.164547,2512.472704,-18.94674,0.071571063,0.038232796,0.159127903,0
0.30656046,1593.044148,1871.081984,2538.79319,-14.812494,0.084305821,0.027199421,0.186901702,0
0.29613677,1173.379006,1254.462778,1993.418159,-18.242188,0.071070432,0.042235553,0.128271326,0
0.32400605,1669.954614,1587.314175,3100.635868,-16.887526,0.101625231,0.040361412,0.135645621,0
0.31684348,1350.321858,1403.669661,2510.975483,-12.269024,0.065440114,0.038078696,0.191719602,0
0.30374712,1322.351493,1271.662609,2513.541563,-19.151026,0.073548029,0.04104747,0.109517233,0
0.31952804,1296.158032,1246.442176,2334.762502,-17.610657,0.073517295,0.04153839,0.16976713,0
0.2927999,2169.431045,2458.038161,4457.915427,-23.245764,0.084309736,0.031327832,0.19503893,0
0.30734587,1923.363863,1856.189748,3402.663314,-16.849897,0.104072497,0.03952867,0.139902615,0
0.3536502,1955.207842,1947.409487,3932.802922,-14.989933,0.094830389,0.03976042,0.163543142,0
0.28863627,1475.024919,1505.663768,2651.87016,-20.173794,0.084013554,0.045638524,0.146174121,0
0.3074756,1245.980589,1293.745042,2277.752188,-12.799066,0.071126812,0.043826066,0.170028081,0
0.36861968,3073.076486,2819.383099,6341.299784,-17.485857,0.145386126,0.027322002,0.12256206,0
0.27748993,1070.538318,1210.274473,1840.330403,-15.282158,0.054846665,0.04237631,0.174150759,0
0.31882912,897.8901146,1189.913787,1446.716499,-13.439072,0.04522123,0.043760322,0.15863076,0
0.33815295,2548.103422,2307.030096,4698.68496,-24.5792,0.162347055,0.038952906,0.08657731,0
0.2888749,1628.896519,1849.255443,2893.037086,-15.540189,0.071248195,0.02390305,0.125558589,0
0.26694652,1438.173122,1337.326516,2564.267728,-26.141573,0.086120842,0.028102266,0.128476703,0
0.27000546,1364.078051,1564.918236,2403.047635,-17.666466,0.081658123,0.02694375,0.146990491,0
0.31915548,1708.070025,1615.19505,3232.073673,-8.44494,0.087471488,0.045329437,0.147685689,0
0.30761084,2526.198311,2571.243208,4973.744006,-17.739458,0.136910009,0.01953176,0.140868396,0
0.32126078,1219.243744,1246.78661,2096.240584,-19.266426,0.077612544,0.04145755,0.152649456,0
0.3402505,1727.357979,1842.391851,3457.406491,-11.297267,0.080195913,0.03827497,0.150579563,0
0.29874676,1283.320012,1418.714305,2297.690812,-18.466297,0.063534619,0.030914173,0.129633533,0
0.22750334,2754.114118,2344.138195,5152.324939,-18.243532,0.198420903,0.04222174,0.140204554,0
0.30578598,1831.613858,1848.505093,3445.424389,-22.488092,0.095228921,0.032479487,0.141026337,0
0.35491207,1364.418713,1625.106541,2535.321644,-13.221871,0.068874626,0.015661355,0.185855524,0
0.30073202,2948.536198,2793.142516,5914.630064,-22.40741,0.14177689,0.02456106,0.160377119,0
0.28929976,1877.536381,1786.197224,3501.996759,-20.992947,0.098634378,0.050893106,0.147650193,0
0.301547,1341.191906,1488.447267,2350.583403,-16.692316,0.075017222,0.04238603,0.123783343,0
